code,account,type,subtype,statement,normal_balance,notes
1010,Checking - Operating,Asset,Cash,Balance Sheet,Debit,Primary operating account
1020,Undeposited Funds / Processor In-Transit,Asset,Cash,Balance Sheet,Debit,Card batches not yet landed in checking
1100,Accounts Receivable,Asset,Receivable,Balance Sheet,Debit,Invoiced but unpaid; memo-only on cash basis
1210,Inventory - Consumables & Supplies,Asset,Inventory,Balance Sheet,Debit,Disposables cleaning chemicals packaging
1220,Inventory - Resale Goods,Asset,Inventory,Balance Sheet,Debit,Goods sold outright not rented
1230,Inventory - Replacement Parts,Asset,Inventory,Balance Sheet,Debit,Spare legs covers hardware
1300,Prepaid Expenses,Asset,Prepaid,Balance Sheet,Debit,Annual insurance prepaid rent
1510,Rental Equipment - Tables & Chairs,Asset,Fixed Asset,Balance Sheet,Debit,Capitalized rental fleet
1520,Rental Equipment - Tents Canopies & Staging,Asset,Fixed Asset,Balance Sheet,Debit,Capitalized rental fleet
1530,Rental Equipment - Linens & Soft Goods,Asset,Fixed Asset,Balance Sheet,Debit,Capitalized rental fleet
1540,Rental Equipment - Decor Lighting & Specialty,Asset,Fixed Asset,Balance Sheet,Debit,Capitalized rental fleet
1550,Rental Equipment - Inflatables & Games,Asset,Fixed Asset,Balance Sheet,Debit,Capitalized rental fleet
1600,Vehicles & Trailers,Asset,Fixed Asset,Balance Sheet,Debit,Delivery fleet
1650,Shop & Warehouse Equipment,Asset,Fixed Asset,Balance Sheet,Debit,Racking washers forklift
1700,Leasehold Improvements,Asset,Fixed Asset,Balance Sheet,Debit,Warehouse buildout
1810,Accum. Depreciation - Rental Equipment,Asset,Contra Asset,Balance Sheet,Credit,Contra to 1510-1550
1820,Accum. Depreciation - Vehicles & Trailers,Asset,Contra Asset,Balance Sheet,Credit,Contra to 1600
1830,Accum. Depreciation - Shop Equipment,Asset,Contra Asset,Balance Sheet,Credit,Contra to 1650
2010,Credit Card - Card 1,Liability,Credit Card,Balance Sheet,Credit,Rename once CSV identifies issuer
2020,Credit Card - Card 2,Liability,Credit Card,Balance Sheet,Credit,Rename once CSV identifies issuer
